2025-12-24 00:00:00.013 [scheduling-1] [] INFO  c.y.news.pipeline.PipelineScheduler - Scheduled pipeline execution started
2025-12-24 00:00:00.018 [scheduling-1] [] INFO  c.y.n.pipeline.PipelineOrchestrator - ========== Pipeline started at 2025-12-24T00:00:00.018321 ==========
2025-12-24 00:00:00.018 [scheduling-1] [] INFO  c.y.news.rss.RssCollectorService - [RSS] Starting collection from 16 feeds
2025-12-24 00:00:00.123 [scheduling-1] [] INFO  c.y.news.rss.RssCollectorService - [RSS] Feed success: url=www.mk.co.kr, entries=50, saved=0
2025-12-24 00:00:00.202 [scheduling-1] [] INFO  c.y.news.rss.RssCollectorService - [RSS] Feed success: url=www.hankyung.com, entries=50, saved=0
2025-12-24 00:00:00.314 [scheduling-1] [] INFO  c.y.news.rss.RssCollectorService - [RSS] Feed success: url=rss.edaily.co.kr, entries=50, saved=0
2025-12-24 00:00:00.488 [scheduling-1] [] INFO  c.y.news.rss.RssCollectorService - [RSS] Feed success: url=rss.mt.co.kr, entries=100, saved=0
2025-12-24 00:00:00.518 [scheduling-1] [] INFO  c.y.news.rss.RssCollectorService - [RSS] Feed success: url=www.yonhapnews.co.kr, entries=0, saved=0
2025-12-24 00:00:00.577 [scheduling-1] [] WARN  c.y.news.rss.RssCollectorService - [RSS] Feed failed: url=www.hani.co.kr, error=Invalid XML: Error on line 1: Content is not allowed in prolog.
2025-12-24 00:00:00.647 [scheduling-1] [] INFO  c.y.news.rss.RssCollectorService - [RSS] Feed success: url=www.khan.co.kr, entries=50, saved=0
2025-12-24 00:00:00.799 [scheduling-1] [] INFO  c.y.news.rss.RssCollectorService - [RSS] Feed success: url=rss.donga.com, entries=50, saved=0
2025-12-24 00:00:00.919 [scheduling-1] [] INFO  c.y.news.rss.RssCollectorService - [RSS] Feed success: url=www.chosun.com, entries=100, saved=0
2025-12-24 00:00:00.997 [scheduling-1] [] WARN  c.y.news.rss.RssCollectorService - [RSS] Feed failed: url=newsis.com, error=Invalid XML: Error on line 6: The element type "hr" must be terminated by the matching end-tag "</hr>".
2025-12-24 00:00:01.015 [scheduling-1] [] WARN  c.y.news.rss.RssCollectorService - [RSS] Feed failed: url=newsis.com, error=Invalid XML: Error on line 6: The element type "hr" must be terminated by the matching end-tag "</hr>".
2025-12-24 00:00:01.033 [scheduling-1] [] WARN  c.y.news.rss.RssCollectorService - [RSS] Feed failed: url=newsis.com, error=Invalid XML: Error on line 6: The element type "hr" must be terminated by the matching end-tag "</hr>".
